Website,Job Title,Category,Company,Date Posted,Location,Status,Education,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Pinoy Jobs,Estimator / Draftsman,"Jobs in Engineering, Construction & Electrical",ECAPro Outsourcing Corp.,2019-08-09,"4th Floor Centrum II, 150 Valero Street Salcedo Village",Full Time,Not Specified,"Description: Estimator / Draftsman (Glazing and Aluminium)-Able to read Architectural, Structural floor plans, sections to work out the Window Schedule and Detail-Knowledge of Structurally glazed Unitised curtain wall concepts, ability to produce shop drawings and fabrication drawings including bar drawings, glass sizes and small parts drawings-Prepare bids and submit proposals on commercial projects, prepare and submission of estimates-Interpret and accurately take-off construction drawings and specificationsRequirements: -Preferably with working experience in Glazing and Aluminium Industry ***-Knowledge in using Autocad (2d and 3d)-Minimum of 2 years experience-Exceptional Communication Skills (verbal and written)",30000,40000,2,2,Engineering
Pinoy Jobs,Rebar Detailer / Scheduler (Intermediate),"Jobs in Engineering, Construction & Electrical",ECAPro Outsourcing Corp.,2019-08-08,Makati City,Full Time,Bachelor's Degree,"Description: Duties will include but are not limited to:·  Interpretation of all project relevant documentation to produce marking plans & bar cutting lists to be used in production/manufacturing & onsite placement of reinforcing bar products & accessories·  Maintain a scheduling calendar to ensure that bar lists & marking plans are produced to meet delivery dates & production lead-times·  Investigate, plan and implement new technologies and methods to improve:           – Quality of Scheduling           – Efficiency in Scheduling·  Read project documents and extract relevant information·  Produce requests for information (RFI’s) as required·  Coordinates effectively with foreign managers and clientsRequirements: Essential skills and attributes: ·  Civil Engineering Degree, preferably licensed but not essential·  Proficient using current version of AutoCAD or Structural Revit·  Familiar with Arma Plus or other rebar cut & bend scheduling software though training will be provided·  High level interpersonal, verbal and written communication skills in English·  Ability to read and interpret structural and architectural drawings·  Previous rebar scheduling experience is a must, 5 years experience or above·  Capacity to work autonomously and as part of a team·  Highly organised with the capability to prioritise and meet deadlines·  Focused. With strong attention to detail·  Strong work ethics·   Effective and strong communication skill ( verbal and written)***·   3-5 years of working experience in Rebar",30000,40000,3,5,Engineering
Pinoy Jobs,R&D Specialist,"Jobs in Engineering, Construction & Electrical",MASUMA Food Industry Inc. (Commissary of Conti's),2019-08-07,Taguig City,Full Time,Bachelor's Degree,"Description: Responsible for executing commercialization of new product development (NPD), product and process improvement. Reviews the request for equipment upgrade of the plant. Test, review, and set standard for Commissary production processes and products, raw materials, and equipment.Requirements: Graduate of BS Food Technology, Nutrition, Culinary or any related fieldWith at least 1 year of experience in Recipe Development preferably in baking and pastry makingCan customize products based on client’s requirementsCan work under pressure; with positive work attitudeHighly innovative and creativeExcellent negotiation and communication skillsKnowledge in food costing, commercialization, training and documentationAble to source and test alternative raw materials and ingredients of existing recipes and new products.Willing to work in FTI, Taguig City",15000,20000,1,1,Engineering
Pinoy Jobs,Operations Supervisor (Natural Stone),"Jobs in Engineering, Construction & Electrical",Marblecare Philippines,2019-08-04,Manila City,Full Time,Not Specified,"Description: Supervises and coordinates activities of workers engaged in cutting, tooling and setting of marble and granite slabs in construction and repair of floors and walls of buildingsSupervises and coordinates activities related to stone restoration such as crack repairs, re-grouting, honing and re-polishingSupervises stone cleaning and application of sealants and protection to existing installations such as anti-etch, non-slip, anti-water absorption, sealers, etcEstimates amount and type of materials required for jobs as well as the time, manpower and equipment required.Produces daily and weekly project reportsInspects work in progress to determine adherence to specificationRequirements: Candidate must possess at least Vocational Diploma/Short Course CertificateAt least 3 Year(s) of working experience in the related field is required for this position.Required Skill(s): Stone Restoration, Natural Stone SetterPreferably 1-4 Yrs Experienced Employee specialized in Engineering – Civil/Construction/Structural or equivalent.Physically fit and hardworkingWith good moral and trustworthy",20000,25000,1,4,Engineering
Pinoy Jobs,Operations Supervisor (Stone),"Jobs in Engineering, Construction & Electrical",Marblecare Philippines,2019-08-04,Manila City,Full Time,Not Specified,Description: Responsible in execution and planning of the projectResponsible in leading and supervising your team Requirements: Must have at least 3 years experience in natural stone restorationPhysically fit and hardworkingwith good moral and trustworthy,15000,20000,3,3,Engineering
Pinoy Jobs,Civil Engineer (Quantity Surveyor and Cost Estimator),"Jobs in Engineering, Construction & Electrical",Fil-Garte Construction and Development Corporation,2019-07-22,San Juan,Full Time,Bachelor's Degree,"Description: The successful candidate shall directly report to VP-Engineering. He/She shall prepare quantity and cost estimates for bidding purposes, project budget, as built-project cost, other proposal as required, including evaluation & analysis of factors that may affect or has affected the overall cost proposal or project budget.Requirements: Candidate must possess at least Bachelor’s/College Degree in Engineering (Civil) or equivalent.Required language(s): Filipino, EnglishAt least 1 Year(s) of working experience in the related field is required for the position.Required skill(s): Quantity Surveying, Cost Estimating",15000,20000,Not Specified,Not Specified,Engineering
Pinoy Jobs,Electrical Engineer (Industrial Machinery),"Jobs in Engineering, Construction & Electrical",safafoam,2019-07-16,"Al Amed Street , Badar District, Shifa Area Riyadh 370413",Full Time,Not Specified,"We SAFA AL MADINAH FOAM FACTORY is one of the leading manufacturer of foam and mattress and located in Riyadh, Qassim, Jeddah. so we are looking for below professionals, interested candidates please send your CV to us.Age 25 to 35 years oldSalary from SR 3000 to SR 4000Experience from 1 to 3 yearsAdvantage for anyone with experience in sponge factoriesAdvantages:– Free accommodation– Free transportation– Free medical insurance– The work will be in Riyadh, Jeddah and Qassim as required",40000,50000,25,35,Engineering
Pinoy Jobs,"Japanese Speaking Engineers (MBD, Mobile/App, Embedded, Mechanical)","Jobs in Engineering, Construction & Electrical","John Clements Consultants, Inc.",2019-07-01,Japan,Full Time,Bachelor's Degree,"We partnered with PERSOL Group of Companies in Japan to provide IT Professionals with the opportunity to expand knowledge in the field of Software Development, Embedded Systems, Mechanical and Electrical Design Engineer. IT Engineers will be deployed to a variety of companies. Some of those are Asahi Glass, Bridgestone, Bosch, Canon, Canon IT Solutions, Citizen Machinery, CTC, CTC Technologies, Denso, Disco, Dupont, EBARA, Fujitsu General, Fuji Xerox, Fuji Xerox Advanced Technology, Honda R&D, Hitachi, Hitachi Systems, Mitsubishi and so much more.The pre-employment process will be fully supported such as COE/Visa, travel arrangements, relocation and accommodation, moving arrangements, initial expenses and preparation allowance.Position: Electric Circuit EngineerQualifications:Candidate must possess a Bachelor’s Degree in Electrical Engineering or Mechatronics Major, or EquivalentOpen for Licensed and Non Licensed EngineersJapanese Language Proficiency must be JLPT N2 levelJLPT N3 passers are welcome to applySolid experience in Electrical/Electronic Circuit DesignPosition: Embedded Systems EngineerQualifications:Experience with embedded microcontrollers and its peripheralsExperience with testing tools like simulators, debuggers, logic analyzers programming languages such as UML, Python, Java, PerlKnowledge of real-time operating system for embedded controllersPosition: Software Developer (Web/Application Design)Qualifications:At least one year of development experience in C#, Java, PHP, VB.Net, C, C++, Objective CHas experience in the following development environment: UNIX, Linux, WindowsMust be familiar with WEB, Mail, DNS, BIND, Proxy, etc.Graduate of bachelor’s degree in Information Technology or equivalentAble to converse and write in Japanese (at least JLPT N3-N2 level)Hands-on experience with native mobile application development (iOS and or Android)Position: Infrastructure DesignQualifications:Japanese Language proficiency must be at least JLPT N1 levelBachelor’s/College Degree in Computer Science, Information Technology, Engineering or equivalent.At least one year of development experience using C#, Java, PHP, VB.Net, C, C++, Objective CHas experience in the following development environment: UNIX, Linux, WindowsMust be familiar with WEB, Mail, DNS, BIND, Proxy, etc.Excellent knowledge of different networks (router, SW, Firewall products, etc.)Position: Mechanical EngineerQualifications:At least one (1) year experience, preferably in the automotive industryProficiency in 3D CAD software, such as AutoCAD, CATIA V5, NX, Solidworks, or Pro/E is an added advantageGraduate of bachelor’s degree in mechanical/electrical/mechatronics engineering or equivalentAble to converse and write in Japanese (at least JLPT N2 level)This is for employment in Japan.",150000,155000,We,We,Engineering
Pinoy Jobs,Painter / Carpentry,"Jobs in Engineering, Construction & Electrical",Astoria Hotels and Resorts,2019-06-19,Metro Manila,Full Time,Not Specified,"Perform basic tasks including painting and carpentry services, clean facilities and managing maintenance repairsPerform repairs on company machinery, equipment or appliancesRequirements:Proven experience as a painter/carpentrySolid knowledge of commercial and/or construction painting techniquesAptitude in using appropriate tools (brushes, caulking guns etc.)Good basic math skillsGreat attention to detailHigh school diploma; successful completion of an apprenticeship",10000,15000,Not Specified,Not Specified,Engineering
Pinoy Jobs,Autocad Operator,"Jobs in Engineering, Construction & Electrical",Design Cube 21,2019-06-19,E Zone F Cabahug Street,Full Time,Not Specified,"Know how to use Autocad and Sketchup•  College Graduate of 2 year course (fresh grad are welcome to apply)•  Cad, Sketchup, Ms Office•  Good communication skills",10000,15000,2,2,Engineering
Pinoy Jobs,Project Manager,"Jobs in Engineering, Construction & Electrical",C.M Pancho Construction Inc.,2020-01-17,Quezon City,Full Time,Not Specified,"Description: Responsible for the performance and discipline of subordinates.Represents the company in field coordination meeting with local / government official and consultant and coordinates all related issues at project site to the management.Oversees all possible variation order and alternative methodology for the interest of the company and submits proposed work schedule and methodology to the management for approval.Monitors, regulates and controls all activities at project for the welfare of the company and its institution.Responsible for the speedy and economical completion of assigned project and motivates all his subordinates to perform well on their assigned duties.Requirements: Licensed Civil EngineerWith 10 or more years experience in Horizontal project such as Roads, Bridges, pipelaying and the likes.",40000,80000,10,10,Engineering
Pinoy Jobs,Project Engineer,"Jobs in Engineering, Construction & Electrical",C.M Pancho Construction Inc.,2020-01-17,Quezon City,Full Time,Not Specified,"Description: Over all supervision of field activities and conduct toolbox meeting to address problems within your subordinates;Prepare schedule of activities (bar chart), list of equipment of each activities, daily activities report, weekly work projection with corresponding equipment and manpower and check all materials and equipment available at site.Must be good in decision making in the absence of Project Manager and must be able to communicate well with the consultant / inspector at site.Requirements: Licensed Civil EngineerMust have 7 or more years experience in Horizontal project such as Roads, bridges, pipelaying and the likes.",25000,45000,7,7,Engineering
Pinoy Jobs,CAD Sketch up Operator,"Jobs in Engineering, Construction & Electrical",BestBuilders Inc.,2019-09-17,Muntinlupa City,Full Time,Not Specified,"Description: Design and draft CAD (computer-aided design) and Sketch up drawingsSubmit presentation drawings on time.Meet all project specifications and client requirements.Work closely with quantity surveyor, project managers, and project engineers to make sure that the design is precise and optimum.Accountable for the maintenance of the CAD drawing data base.Aid in increasing and maintaining quality assurance processes.Prepare presentation materials using AutoCAD / Sketch up graphic software.Adjust current drawings and recommend changes based on their understanding and knowledge of the project.Review and interpret client specifications.Requirements: Architecture/ Engg GraduateAt least 2 years of experience in CAD or Sketch upCan do detailing works of construction plansKnowledgeable in 3D and Sketch up Renderin PresentationsGood Communication Skills",15000,20000,2,2,Engineering
Pinoy Jobs,Mechanical / Painting Technician,"Jobs in Engineering, Construction & Electrical",Aero Auto Metal Products LLC,2019-09-12,"Abudhabi, United Arab Emirates",Full Time,Bachelor's Degree,"Description: Assembly/Mechanical TechnicianExecute production tasks according to scheduleComplete job cards as required, record task durationReport all incidents and problems to his team leader, foreman or production managerPerform prototype manufacturing tasks and serial production manufacturing tasksManage and organize standard workshop tools and equipmentReport defective equipment to the team leader, foreman or production managerSupport QA to maintain the required quality standardsAutomotive Spray PainterJDExecute production tasks according to scheduleComplete job cards as required, record task duration and meet weekly production goalsReport all incidents and problems to the Production Managerperform all spray-painting tasks according to the data pack and QC requirementsManage and upkeep all spray-painting equipment/tools as well as standard workshop tools and equipmentReport defective equipment to the Production Manager/ForemanSupport QA to maintain the required quality standardsRequirements: Automotive Spray PainterDomain : Armored Vehicle ( Mandatory )Minimum Experience Required : At least 5 + Years in Spray Painting( Mandatory )Education : Diploma or DegreeAssembly/Mechanical TechnicianDomain : Armored Vehicle ( Mandatory )Minimum Experience Required : At least 5 + Years in Armored Vehicle Assembly( Mandatory )Education : Diploma or Degree",35000,65000,Not Specified,Not Specified,Engineering
Pinoy Jobs,Project Engineer – Mechanical,"Jobs in Engineering, Construction & Electrical",JAM Industrial Sales,2019-09-10,Manila City,Full Time,Bachelor's Degree,"Description: Assessing project requirementsMeasuring the performance of mechanical components, devices and enginesAgreeing budgets, timescales and specifications with clients and managersWriting reports and documentationProviding technical adviceAnalysing and interpreting dataAttend pre-biddingsRequirements: Candidate must possess at least Bachelor’s/College Degree, Professional License (Passed Board/Bar/Professional License Exam) in Engineering (Mechanical) or equivalent.At least 1 Year(s) of working experience in the related field is required for this position.Preferably 1-4 Yrs Experienced Employee specialized in Engineering – Mechanical/Automotive or equivalent.Required skills: MS Excel, MS office, AutocadAt least 1 year of working experience in mechanical works (mechanical fabrication or mechanical design) Must know how to make a cost estimate on given drawings, plans, and similar engineering works.Must know how to execute the mechanical drawings and plansMust be willing to work in Valenzuela / PampangaFull time positionMust work with minimum supervision.Must be motivated and has good working attitudeAmenable to render overtime",15000,20000,1,4,Engineering
Pinoy Jobs,"Architect, Architectural Designer, Drafting Technician, Draftsman","Jobs in Engineering, Construction & Electrical",Xpress Design + Drafting,2019-09-08,Work From Home,Full Time,Not Specified,"Description: Seeking experienced staff for expanding New Zealand based architectural firm.Scope:Concept plans3d rendersWorking DrawingsNZS 3604NZBC – New Zealand Building CodeBuilding Consent DocumentationSpecificationConsent ApplicationRFI’sDesign ITArchicad, Revit, 3D Max, VrayRequirements: Professional Well OrganisedSelf-motivatedProficient with CAD software – Archicad, Revit, Chief ArchitectPrevious experience with residential building Australia or New ZealandHome based or OfficePart-time or Full time.",25000,50000,Not Specified,Not Specified,Engineering
Pinoy Jobs,CAD or BIM Coordinator,"Jobs in Engineering, Construction & Electrical",RealDesigns,2019-08-24,Work From Home,Full Time,Not Specified,"Description: To apply:1. Submit your application at the following URL:***Note: This is the fastest and most efficient way to submit your resume for consideration. If you choose to use the message system, we cannot guarantee you won’t be overlooked.—————————————————————————————————————————–Company DescriptionWe are an US-based service company that serves professionals in the architecture, engineering and construction industry. VECS was founded in 2007 and is famous for our high attention to detail, innovative technology and the results we deliver for our clients.Job Description and Function:We are looking for a great CAD/BIM Technician to be an integral team member to help grow our business. Your role encompasses working within our other team members (remotely). In addition, we have a large team spread throughout the world, so we understand the unique challenges of working remotely. We have set up an extensive training and leadership program that allows our staff to have the tools they need to be successful.Duties:• Create construction drawings for the mechanical, plumbing or electrical trades• Adhere to company CAD standards• Ability to read construction drawingsRequirements: Qualifications and Requirements• Have at least 1-3 years of experience in working with AutoCAD/Revit or similar• Have good written and oral communication skills, with a firm handle on grammar and spelling. (We treat our customers the same as we would a friend who we respect)• Are willing to start working ASAP• Experienced in gathering client documents and making use of the information they provide• Are efficient, personable, adaptable, organized, and confident• Reliable computer and internet connection• High attention to detail is mandatory.Benefits and Pay:• In-depth training program• 13-month pay• Full-time• Work Remotely – The majority of our team members work remotely all around the world. Our main office is located in Washington DC.Skills required:• AutoCAD• Revit experience is a plus• English– Speaking– Writing",30000,50000,1,3,Engineering
Pinoy Jobs,Construction Cost Estimator,"Jobs in Engineering, Construction & Electrical",Novaproducts,2019-08-22,Work From Home,Full Time,Not Specified,"Description: MUST HAVE SKILLS Estimator Good computer for Cad DWG take offs Previous quantity surveying or take off (Estimate) experience with Commercial building drawings.Understanding of Australian Construction Standards Previous quoting experience is a plus Required from all the Candidates:-Fluent in English Language-Must have a stable & reliable internet to work online (Fiber/DSL)-Able to work 8am – 5pm-Able to work 3 days or more a week (Mondays to Fridays)-Honest & friendly attitude is an added value-Good moral character-Can work immediately  Requirements: MUST HAVE SKILLS Accounting Assistant / Data Entry Knowledgeable on Accounting System (MYOB, Xero etc.)Understanding of Australian Accounting ProcessesFast learner and have good mathematical skills Required from all the Candidates:-Fluent in English Language-Must have a stable & reliable internet to work online (Fiber/DSL)-Able to work 8am – 5pm-Able to work 3 days or more a week (Mondays to Fridays)-Honest & friendly attitude is an added value-Good moral character-Can work immediately ",15000,30000,3,3,Engineering
Pinoy Jobs,Quality Assurance / Quality Control,"Jobs in Engineering, Construction & Electrical",Arvyn Construction Incorporated,2019-08-20,Pinas City,Full Time,Not Specified,Description: – Establish and maintain outstanding interpersonal relationship skills.– Demonstrate creativity and originality.– Utilize conflict management and negotiation skills.– Excercise good organizational and time management skills.– familiar with design mix.– flexible and work oriented.Requirements: – Civil Engineer Graduate– At least 3 years of experience in Cement Plant Project– Willing to be assigned in Pangasinan,25000,30000,3,3,Engineering
Pinoy Jobs,Liaison Assistant or Permitting Staff,"Jobs in Engineering, Construction & Electrical","SmoothMoves, Inc.",2019-08-13,"WT Tower Ayala Business Center, Cebu ",Full Time,Not Specified,Description: -Processing and Follow up permits -Ensure documentation for filling -Make an update of the status of the permits Requirements: Qualifications:– Graduate of any 4 year course– Atleast 1 to 2 years experience in LGU / HOA Permitting– Telecommunication background is an advantage– Excellent communication and negotiation skills– Proficient in Microsoft Office– With strong personality– Team player and able to adapt to different cultures/working environment– Willing to be assigned anywhere in the Philippines,15000,25000,1,2,Engineering
Pinoy Jobs,Estimator / Draftsman,"Jobs in Engineering, Construction & Electrical",ECAPro Outsourcing Corp.,2019-08-09,"4th Floor Centrum II, 150 Valero Street Salcedo Village",Full Time,Not Specified,"Description: Estimator / Draftsman (Glazing and Aluminium)-Able to read Architectural, Structural floor plans, sections to work out the Window Schedule and Detail-Knowledge of Structurally glazed Unitised curtain wall concepts, ability to produce shop drawings and fabrication drawings including bar drawings, glass sizes and small parts drawings-Prepare bids and submit proposals on commercial projects, prepare and submission of estimates-Interpret and accurately take-off construction drawings and specificationsRequirements: -Preferably with working experience in Glazing and Aluminium Industry ***-Knowledge in using Autocad (2d and 3d)-Minimum of 2 years experience-Exceptional Communication Skills (verbal and written)",30000,40000,2,2,Engineering
Pinoy Jobs,Rebar Detailer / Scheduler (Intermediate),"Jobs in Engineering, Construction & Electrical",ECAPro Outsourcing Corp.,2019-08-08,Makati City,Full Time,Bachelor's Degree,"Description: Duties will include but are not limited to:·  Interpretation of all project relevant documentation to produce marking plans & bar cutting lists to be used in production/manufacturing & onsite placement of reinforcing bar products & accessories·  Maintain a scheduling calendar to ensure that bar lists & marking plans are produced to meet delivery dates & production lead-times·  Investigate, plan and implement new technologies and methods to improve:           – Quality of Scheduling           – Efficiency in Scheduling·  Read project documents and extract relevant information·  Produce requests for information (RFI’s) as required·  Coordinates effectively with foreign managers and clientsRequirements: Essential skills and attributes: ·  Civil Engineering Degree, preferably licensed but not essential·  Proficient using current version of AutoCAD or Structural Revit·  Familiar with Arma Plus or other rebar cut & bend scheduling software though training will be provided·  High level interpersonal, verbal and written communication skills in English·  Ability to read and interpret structural and architectural drawings·  Previous rebar scheduling experience is a must, 5 years experience or above·  Capacity to work autonomously and as part of a team·  Highly organised with the capability to prioritise and meet deadlines·  Focused. With strong attention to detail·  Strong work ethics·   Effective and strong communication skill ( verbal and written)***·   3-5 years of working experience in Rebar",30000,40000,3,5,Engineering
Pinoy Jobs,R&D Specialist,"Jobs in Engineering, Construction & Electrical",MASUMA Food Industry Inc. (Commissary of Conti's),2019-08-07,Taguig City,Full Time,Bachelor's Degree,"Description: Responsible for executing commercialization of new product development (NPD), product and process improvement. Reviews the request for equipment upgrade of the plant. Test, review, and set standard for Commissary production processes and products, raw materials, and equipment.Requirements: Graduate of BS Food Technology, Nutrition, Culinary or any related fieldWith at least 1 year of experience in Recipe Development preferably in baking and pastry makingCan customize products based on client’s requirementsCan work under pressure; with positive work attitudeHighly innovative and creativeExcellent negotiation and communication skillsKnowledge in food costing, commercialization, training and documentationAble to source and test alternative raw materials and ingredients of existing recipes and new products.Willing to work in FTI, Taguig City",15000,20000,1,1,Engineering
